priority,pattern,code
10,6208.?2rs,030100010001
10,6308.?2rs,030100010002
10,32210,030100010003
10,oil seal 40.?62.?8,030100020001
10,spz.?1250,030100030001
10,m12.?60,030200010001
10,hex nut m12,030200010002
10,3.?2\.5,030300010001
10,contactor 25,030300020001
10,32.?100,030400010001
10,dn12,030400020001
10,187.?137.?40,020100010001
10,60 ?mic,020100020001
10,400.?300.?200,020200010001
10,vg ?220,060200020001
20,ball bearing,030100010001
20,roller bearing,030100010003
20,oil seal,030100020001
20,v.?belt,030100030001
20,hex bolt,030200010001
20,hex nut,030200010002
20,power cable,030300010001
20,contactor,030300020001
20,pneumatic cylinder,030400010001
20,hydraulic hose,030400020001
20,feed wheat,010100010001
20,soybean meal,010100020001
20,pp tray,020100010001
20,barrier film,020100020001
20,corrugated box,020200010001
20,spiral freezer,040100010001
20,belt conveyor,040200010001
20,pump overhaul,050100010001
20,scale calibration,050200010001
20,electricity supply,060100010001
20,diesel fuel,060200010001
20,gear oil,060200020001
20,refrigerated transport,070100010001
20,cold storage,070200010001
20,a4 paper,080100010001
20,software licence,080200010001
30,bearing,030100010001
30,seal,030100020001
30,belt,030100030001
30,bolt,030200010001
30,nut,030200010002
30,cable,030300010001
30,cylinder,030400010001
30,hose,030400020001
30,tray,020100010001
30,film,020100020001
30,box,020200010001
30,conveyor,040200010001
30,freezer,040100010001
30,overhaul,050100010001
30,calibration,050200010001
30,electricity,060100010001
30,diesel,060200010001
30,lubricant,060200020001
30,transport,070100010001
30,storage,070200010001
30,paper,080100010001
30,licence,080200010001
